Airport,Date/time,Wind_direction,Wind_speed,Gust_speed,QNH
ENOL,151550Z,80,5,,0997
ENOL,151620Z,120,6,,0997
ENOL,151650Z,70,6,,0997
ENOL,151720Z,100,7,,0997
ENOL,151750Z,90,7,,0997
ENOL,151820Z,130,9,,0997
ENOL,151850Z,140,9,,0997
ENOL,151920Z,140,10,,0996
ENOL,151950Z,140,10,,0996
ENOL,152020Z,130,11,,0996
ENOL,152050Z,130,12,,0996
ENOL,152120Z,140,11,,0996
ENOL,152150Z,140,11,,0996
ENOL,152220Z,130,13,,0995
ENOL,152250Z,140,11,,0995
ENOL,152320Z,140,10,,0995
ENOL,152350Z,140,11,,0994
ENOL,160020Z,150,8,,0994
ENOL,160050Z,130,9,,0994
ENOL,160120Z,140,10,,0993
ENOL,160150Z,190,9,,0993
ENOL,160220Z,220,13,,0993
ENOL,160250Z,180,11,,0992
ENOL,160320Z,160,9,,0992
ENOL,160350Z,160,8,,0992
ENOL,160420Z,150,10,,0992
ENOL,160450Z,130,10,,0991
ENOL,160520Z,130,10,,0991
ENOL,160550Z,130,9,,0991
ENOL,160620Z,130,9,,0991
ENOL,160650Z,140,9,,0991
ENOL,160720Z,130,7,,0990
ENOL,160720Z,130,7,,0990
ENOL,160750Z,170,7,,0990
ENOL,160820Z,230,14,,0990
ENOL,160850Z,230,16,,0990
ENOL,160920Z,240,15,,0989
ENOL,160950Z,230,19,,0989
ENOL,161020Z,240,17,,0989
ENOL,161020Z,240,17,,0989
ENOL,161050Z,230,16,,0989
ENOL,161120Z,240,17,,0989
ENOL,161150Z,240,20,,0989
ENOL,161220Z,240,18,,0989
ENOL,161220Z,240,18,,0989
ENOL,161250Z,230,19,,0989
ENOL,161320Z,240,18,,0988
ENOL,161350Z,220,14,,0988
ENOL,161420Z,220,14,,0987
